,Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
40,Apartamentos,75.0,290000.0,3,2,1,Piçarreira
41,Apartamentos,90.0,460000.0,3,2,2,Jóquei
42,Apartamentos,224.0,1800000.0,3,4,3,Jóquei
43,Casas,115.0,280000.0,3,2,2,Rodoviária
44,Apartamentos,75.0,350000.0,3,2,1,Santa Isabel
45,Apartamentos,79.0,735000.0,2,3,2,Fátima
46,Apartamentos,80.0,760000.0,3,2,2,Fátima
47,Apartamentos,65.0,220000.0,3,2,1,Uruguai
48,Apartamentos,115.0,215000.0,3,2,1,Aeroporto
49,Apartamentos,60.0,517000.0,1,2,1,Jóquei
50,Casas,160.0,680000.0,4,5,2,Morros
52,Apartamentos,71.0,220000.0,2,2,1,Horto
53,Casas,210.0,1150000.0,4,4,2,Morros
54,Apartamentos,69.0,450000.0,3,2,2,Horto
55,Casas,351.0,850000.0,5,5,5,Centro
56,Casas,105.0,380000.0,2,1,1,Piçarreira
57,Apartamentos,61.0,300000.0,2,1,2,Santa Isabel
58,Apartamentos,64.0,180000.0,3,2,1,Gurupi
59,Casas,270.0,750000.0,3,1,3,Morros
60,Apartamentos,64.0,180000.0,3,2,1,Gurupi
61,Apartamentos,250.0,1300000.0,5,5,1,Centro
62,Casas,380.0,600000.0,4,5,4,São Cristóvão
63,Casas,135.0,340000.0,3,3,2,Parque Ideal
64,Apartamentos,51.0,179000.0,2,1,1,Aroeiras
65,Casas,200.0,550000.0,3,3,0,São Cristóvão
66,Apartamentos,83.0,630000.0,2,3,1,Jóquei
67,Apartamentos,76.0,280000.0,3,2,1,Horto
68,Casas,303.0,850000.0,4,4,4,Fátima
69,Apartamentos,60.0,185000.0,3,2,1,Vale Quem Tem
70,Casas,233.0,960000.0,3,3,4,Santa Isabel
71,Apartamentos,130.0,770000.0,3,2,2,Fátima
72,Apartamentos,82.0,630000.0,3,4,2,Jóquei
73,Casas,280.0,1150000.0,4,5,4,Morros
74,Apartamentos,68.0,280000.0,3,2,1,Piçarreira
75,Casas,90.0,414000.0,3,2,2,Gurupi
76,Apartamentos,80.0,560000.0,3,4,2,Horto
77,Apartamentos,72.0,398000.0,3,3,2,Noivos
78,Apartamentos,56.0,180000.0,3,1,1,Novo Horizonte
79,Casas,233.0,960000.0,3,3,4,Santa Isabel
80,Casas,600.0,680000.0,4,1,5,Parque Ideal
81,Casas,10.0,850000.0,4,2,5,Lourival Parente
82,Apartamentos,77.0,370000.0,2,3,1,Campestre
83,Apartamentos,105.0,650000.0,3,2,2,Fátima
84,Apartamentos,75.0,420000.0,3,2,1,Santa Isabel
85,Casas,350.0,850000.0,5,5,4,Ininga
86,Apartamentos,66.0,315000.0,3,2,1,Gurupi
87,Apartamentos,62.0,340000.0,3,2,2,São João
88,Apartamentos,45.0,199000.0,2,2,1,Uruguai
89,Apartamentos,59.0,220000.0,3,2,1,Parque Ideal
90,Apartamentos,67.0,300000.0,3,2,2,Gurupi
91,Apartamentos,106.0,850000.0,3,4,2,Horto
92,Apartamentos,41.0,339992.0,1,1,1,Ininga
93,Apartamentos,128.0,1000000.0,3,4,2,Fátima
94,Apartamentos,202.0,1200000.0,5,5,3,Fátima
95,Apartamentos,67.0,140000.0,3,2,1,Novo Horizonte
96,Apartamentos,141.0,1270000.0,3,4,3,Fátima
97,Apartamentos,72.0,460000.0,2,3,2,São Cristóvão
98,Apartamentos,227.0,1900000.0,3,4,4,Jóquei
99,Apartamentos,77.0,240000.0,3,1,1,Campestre
100,Apartamentos,119.0,950000.0,3,4,2,São Cristóvão
101,Apartamentos,89.0,350000.0,3,3,2,Morada do Sol
102,Apartamentos,67.0,300000.0,3,2,2,Gurupi
103,Apartamentos,82.0,630000.0,3,4,2,Jóquei
105,Apartamentos,58.0,150000.0,2,1,1,Santa Isabel
107,Casas,100.0,449900.0,3,1,2,Morros
108,Casas,100.0,437800.0,3,3,2,Gurupi
109,Apartamentos,62.0,300000.0,3,2,2,Uruguai
110,Apartamentos,67.0,300000.0,3,1,2,Gurupi
111,Casas,280.0,1650000.0,4,4,4,Uruguai
112,Casas,75.0,110000.0,2,1,2,Aroeiras
113,Apartamentos,80.0,260000.0,3,3,1,Santa Isabel
114,Apartamentos,92.0,830000.0,3,2,2,Morada do Sol
115,Apartamentos,92.0,830000.0,3,2,2,Morada do Sol
116,Casas,72.0,240000.0,2,2,2,Vale Quem Tem
117,Apartamentos,75.0,245000.0,3,2,1,Horto
118,Apartamentos,64.0,370000.0,3,2,2,Gurupi
119,Apartamentos,177.0,1100000.0,4,5,2,Centro
120,Apartamentos,124.0,690000.0,3,2,2,Jóquei
121,Apartamentos,255.0,1800000.0,4,5,3,Horto
122,Casas,130.0,661000.0,3,3,2,Vale Quem Tem
123,Casas,90.0,250000.0,3,2,2,Aroeiras
124,Apartamentos,105.0,750000.0,3,2,2,Fátima
125,Apartamentos,101.0,370000.0,2,2,1,São Cristóvão
126,Apartamentos,244.0,2000000.0,4,5,3,São Cristóvão
127,Apartamentos,187.0,1210000.0,4,4,3,Noivos
128,Apartamentos,224.0,1800000.0,3,4,3,Jóquei
129,Apartamentos,59.0,624248.0,1,1,1,São Cristóvão
131,Apartamentos,304.0,1900000.0,4,5,2,Jóquei
132,Apartamentos,127.0,1150000.0,3,4,2,Fátima
133,Apartamentos,77.0,345000.0,3,3,1,Morada do Sol
134,Apartamentos,74.0,355000.0,3,2,1,Santa Isabel
135,Casas,205.0,1100000.0,4,4,5,Porto do Centro
136,Apartamentos,48.0,170000.0,2,1,1,Bom Princípio
137,Apartamentos,141.0,1174400.0,3,4,3,São Cristóvão
138,Casas,59.0,240000.0,2,2,2,Mocambinho
139,Apartamentos,118.0,878000.0,3,4,2,São Cristóvão
140,Apartamentos,119.0,950000.0,3,4,2,São Cristóvão
141,Apartamentos,64.0,370000.0,3,1,1,São Sebastião
142,Apartamentos,224.0,1800000.0,3,4,3,Jóquei
143,Apartamentos,50.0,196000.0,2,1,1,Vale Quem Tem
144,Apartamentos,77.0,300000.0,3,3,1,Porto do Centro
145,Casas,217.0,750000.0,4,4,5,Ininga
147,Apartamentos,49.0,150000.0,2,1,1,Uruguai
148,Apartamentos,69.0,450000.0,3,2,2,Noivos
149,Apartamentos,50.0,450000.0,3,2,1,Ininga
150,Casas,209.0,1600000.0,4,1,2,Uruguai
151,Casas,182.0,980000.0,4,5,3,Horto
152,Casas,122.0,598535.0,4,4,3,Morros
153,Apartamentos,66.0,190000.0,2,2,1,Colorado
154,Apartamentos,86.0,562000.0,3,3,2,Jóquei
155,Casas,134.0,660000.0,3,3,2,Piçarreira
156,Apartamentos,56.0,221921.0,2,1,2,Uruguai
157,Apartamentos,96.0,290000.0,3,2,1,Noivos
158,Apartamentos,60.0,300000.0,2,2,1,Santa Isabel
159,Apartamentos,96.0,330000.0,3,3,2,São Pedro
160,Apartamentos,77.0,459100.0,3,2,2,São Cristóvão
161,Apartamentos,50.0,170000.0,1,1,1,Cabral
162,Apartamentos,62.0,205000.0,3,2,1,Novo Horizonte
163,Apartamentos,66.0,360000.0,3,2,2,Cristo Rei
164,Apartamentos,62.0,270000.0,3,2,2,Recanto das Palmeiras
165,Casas,240.0,780000.0,4,5,4,Santa Isabel
166,Casas,276.0,720000.0,4,4,2,Morada do Sol
167,Apartamentos,70.0,390000.0,1,1,2,Ininga
168,Apartamentos,68.0,185000.0,3,2,1,Uruguai
169,Apartamentos,80.0,220000.0,3,2,1,Cidade Nova
170,Casas,158.0,680000.0,4,5,2,Socopo
171,Casas,98.0,444900.0,3,3,2,Morros
172,Apartamentos,77.0,415000.0,3,2,1,Ininga
174,Casas,237.0,1250000.0,4,1,5,Fátima
175,Apartamentos,78.0,498100.0,3,2,2,Monte Castelo
176,Casas,370.0,550000.0,4,4,2,Centro
177,Apartamentos,104.0,770000.0,3,2,0,Frei Serafim
178,Apartamentos,99.0,160000.0,2,2,1,Uruguai
180,Casas,220.0,750000.0,4,5,3,Morros
181,Apartamentos,56.0,165000.0,2,1,1,Todos os Santos
182,Apartamentos,62.0,180000.0,3,2,1,Todos os Santos
183,Apartamentos,62.0,329500.0,3,2,2,Nossa Senhora das Graças
184,Apartamentos,90.0,240000.0,3,2,1,São Cristóvão
185,Apartamentos,74.0,345000.0,3,2,1,Santa Isabel
186,Casas,120.0,330000.0,3,1,1,Parque Piauí
187,Casas,200.0,600000.0,2,1,1,Parque Ideal
188,Apartamentos,59.0,160000.0,2,2,1,Uruguai
189,Casas,100.0,650000.0,4,1,4,Marquês
190,Apartamentos,75.0,328000.0,3,2,1,Jóquei
191,Apartamentos,77.0,270000.0,3,3,1,Campestre
192,Apartamentos,41.0,190000.0,2,1,1,Morada do Sol
193,Casas,90.0,400000.0,3,3,2,Gurupi
194,Casas,89.0,438000.0,3,2,2,Gurupi
195,Apartamentos,49.0,160000.0,2,2,1,Angelim
196,Apartamentos,46.0,180000.0,2,1,0,Novo Horizonte
197,Apartamentos,130.0,1025172.0,3,1,3,Fátima
198,Casas,228.0,1600000.0,4,4,2,Uruguai
199,Casas,270.0,1750000.0,4,4,2,Tabajaras
200,Casas,138.0,720000.0,4,4,2,Zoobotânico
201,Apartamentos,142.0,1159400.0,2,4,3,São Cristóvão
202,Apartamentos,56.0,329500.0,2,2,1,Nossa Senhora das Graças
204,Apartamentos,46.0,129900.0,2,1,1,Vale do Gavião
205,Casas,130.0,560000.0,3,4,3,Jóquei
206,Apartamentos,63.0,330000.0,3,2,2,Piçarreira
207,Apartamentos,60.0,280000.0,2,1,1,Uruguai
208,Apartamentos,77.0,330000.0,3,2,2,Uruguai
209,Apartamentos,70.0,350000.0,3,2,1,Jóquei
210,Casas,100.0,420000.0,3,3,2,Gurupi
211,Apartamentos,187.0,1207000.0,3,3,2,Noivos
212,Apartamentos,50.0,145000.0,2,1,1,Aroeiras
213,Casas,441.0,200000.0,5,1,2,Piçarreira
214,Apartamentos,187.0,700000.0,4,4,2,Horto
215,Apartamentos,78.0,498100.0,3,2,2,Monte Castelo
216,Apartamentos,237.0,1381826.0,3,1,2,Jóquei
217,Casas,120.0,628000.0,4,1,2,Gurupi
218,Apartamentos,50.0,207360.0,2,1,1,Uruguai
219,Casas,99.0,435000.0,3,1,2,Gurupi
220,Apartamentos,74.0,504000.0,3,2,1,Santa Isabel
221,Apartamentos,81.0,230000.0,3,3,1,São João
222,Apartamentos,90.0,472600.0,3,1,2,São Cristóvão
223,Casas,140.0,750000.0,4,5,2,Zoobotânico
224,Casas,240.0,600000.0,3,1,4,Morada do Sol
225,Casas,160.0,380000.0,4,4,3,Saci
226,Apartamentos,67.0,280000.0,3,1,1,Noivos
227,Apartamentos,227.0,2000000.0,4,5,4,Jóquei
228,Casas,240.0,770000.0,3,4,4,Morros
230,Apartamentos,107.0,480000.0,3,3,2,Horto
231,Apartamentos,130.0,1000000.0,3,3,2,Fátima
232,Casas,200.0,250000.0,2,1,2,Itararé
233,Apartamentos,38.0,180500.0,2,2,2,Uruguai
234,Casas,210.0,1150000.0,4,4,2,Morros
235,Apartamentos,190.0,850000.0,3,3,2,Ininga
236,Apartamentos,54.0,288500.0,2,2,2,São Cristóvão
237,Apartamentos,69.0,240000.0,3,2,1,Centro
238,Apartamentos,49.0,130000.0,2,1,1,Santa Maria
239,Apartamentos,76.0,630000.0,3,3,2,Horto
240,Apartamentos,38.0,157500.0,2,1,1,Gurupi
241,Apartamentos,69.0,220000.0,2,2,1,Horto
242,Apartamentos,75.0,230000.0,3,1,1,Piçarreira
243,Apartamentos,64.0,300000.0,3,2,1,Gurupi
244,Apartamentos,76.0,580000.0,3,2,2,Horto
245,Apartamentos,196.0,890000.0,4,1,2,Frei Serafim
246,Apartamentos,168.0,1657000.0,3,3,2,Jóquei
247,Casas,350.0,1300000.0,3,3,4,Ininga
248,Casas,200.0,500000.0,3,2,1,Morro da Esperança
249,Apartamentos,56.0,225000.0,2,1,1,Aeroporto
250,Apartamentos,60.0,240000.0,2,1,2,Aeroporto
251,Apartamentos,71.0,390000.0,3,2,2,Noivos
252,Apartamentos,47.0,130000.0,2,1,1,Vale do Gavião
253,Apartamentos,48.0,160000.0,2,1,1,Cidade Jardim
254,Casas,69.0,155000.0,2,1,1,Santa Maria
255,Apartamentos,45.0,200000.0,2,1,2,Noivos
256,Casas,151.0,780000.0,4,1,2,Samapi
257,Casas,107.0,589325.0,4,4,3,Morros
258,Apartamentos,68.0,381957.0,3,2,1,Três Andares
259,Apartamentos,72.0,280000.0,3,2,1,Piçarreira
260,Casas,360.0,1100000.0,4,1,5,Ininga
261,Apartamentos,130.0,450000.0,3,3,0,São Cristóvão
262,Apartamentos,73.0,400000.0,3,2,2,Recanto das Palmeiras
263,Apartamentos,64.0,300000.0,3,2,2,São João
264,Casas,220.0,485000.0,3,3,2,Parque São João
265,Casas,88.0,420000.0,3,4,2,Morros
266,Casas,77.0,352800.0,3,3,2,Novo Uruguai
267,Casas,600.0,1000000.0,4,4,5,Planalto
268,Casas,550.0,1400000.0,5,5,5,Campestre
269,Apartamentos,77.0,325000.0,3,3,1,Campestre
270,Casas,216.0,1100000.0,4,5,2,Gurupi
271,Apartamentos,206.0,1760000.0,4,4,3,Jóquei
272,Casas,280.0,1400000.0,4,4,5,Ininga
273,Casas,175.0,890000.0,4,5,4,Gurupi
274,Apartamentos,69.0,210000.0,3,2,1,Cristo Rei
275,Apartamentos,81.0,240000.0,3,2,1,Porenquanto
276,Apartamentos,161.0,800000.0,3,2,2,Jóquei
277,Casas,180.0,730000.0,4,4,4,Morros
278,Apartamentos,45.0,145000.0,2,1,1,Morros
279,Casas,243.0,780000.0,4,3,4,São João
280,Casas,180.0,250000.0,3,3,1,Mocambinho
281,Casas,300.0,350000.0,3,1,2,Vale Quem Tem
282,Apartamentos,76.0,375000.0,3,2,2,Morros
283,Apartamentos,110.0,977139.0,3,4,2,Jóquei
284,Apartamentos,79.0,290000.0,3,1,1,Vale do Gavião
285,Apartamentos,50.0,215251.0,2,1,1,Uruguai
286,Apartamentos,49.0,130000.0,2,1,1,Piçarreira
287,Apartamentos,68.0,280000.0,3,2,1,Piçarreira
288,Apartamentos,60.0,275000.0,2,2,1,Uruguai
289,Apartamentos,153.0,1400000.0,3,4,5,Núcleo Urbano Fazenda Real
290,Apartamentos,78.0,490000.0,3,3,2,Monte Castelo
292,Apartamentos,51.0,220000.0,2,1,1,Aeroporto
293,Apartamentos,40.0,130000.0,2,1,1,Cristo Rei
294,Apartamentos,49.0,150000.0,2,1,1,Santa Isabel
295,Apartamentos,59.0,350000.0,2,1,1,Recanto das Palmeiras
296,Apartamentos,64.0,350000.0,2,2,1,Fátima
297,Apartamentos,72.0,398000.0,3,3,2,Noivos
298,Apartamentos,48.0,164990.0,2,1,1,Cidade Jardim
299,Casas,215.0,1800000.0,4,4,2,Uruguai
300,Casas,294.0,1650000.0,4,5,5,Morros
301,Apartamentos,65.0,190000.0,3,2,1,Novo Horizonte
302,Apartamentos,130.0,1300000.0,4,5,2,Fátima
303,Apartamentos,60.0,280000.0,2,1,1,Santa Isabel
304,Casas,315.0,2600000.0,4,5,4,Gurupi
306,Apartamentos,42.0,180000.0,2,1,1,Uruguai
307,Apartamentos,150.0,130000.0,2,1,1,Nova Brasília
308,Apartamentos,225.0,2185000.0,4,4,4,Jóquei
310,Apartamentos,107.0,890000.0,3,4,2,Horto
311,Apartamentos,77.0,360000.0,3,2,2,Morros
312,Apartamentos,60.0,125000.0,2,1,1,Morada Nova
313,Apartamentos,90.0,472600.0,3,1,2,São Cristóvão
314,Casas,140.0,750000.0,4,5,2,Zoobotânico
315,Casas,240.0,600000.0,3,1,4,Morada do Sol
316,Casas,160.0,380000.0,4,4,3,Saci
317,Apartamentos,67.0,280000.0,3,1,1,Noivos
318,Apartamentos,227.0,2000000.0,4,5,4,Jóquei
319,Casas,240.0,770000.0,3,4,4,Morros
321,Apartamentos,107.0,480000.0,3,3,2,Horto
322,Apartamentos,130.0,1000000.0,3,3,2,Fátima
324,Apartamentos,276.0,1600000.0,3,5,5,Jóquei
325,Apartamentos,62.0,204000.0,3,2,1,Parque Ideal
326,Casas,575.0,2950000.0,4,5,4,Uruguai
327,Apartamentos,50.0,196000.0,2,1,1,Vale Quem Tem
328,Apartamentos,77.0,300000.0,3,3,1,Porto do Centro
329,Casas,217.0,750000.0,4,4,5,Ininga
331,Apartamentos,49.0,150000.0,2,1,1,Uruguai
332,Apartamentos,69.0,450000.0,3,2,2,Noivos
333,Apartamentos,50.0,450000.0,3,2,1,Ininga
334,Casas,209.0,1600000.0,4,1,2,Uruguai
335,Casas,182.0,980000.0,4,5,3,Horto
336,Casas,122.0,598535.0,4,4,3,Morros
337,Apartamentos,66.0,190000.0,2,2,1,Colorado
338,Apartamentos,86.0,562000.0,3,3,2,Jóquei
339,Casas,134.0,660000.0,3,3,2,Piçarreira
340,Apartamentos,56.0,221921.0,2,1,2,Uruguai
341,Apartamentos,96.0,290000.0,3,2,1,Noivos
342,Apartamentos,60.0,300000.0,2,2,1,Santa Isabel
343,Apartamentos,96.0,330000.0,3,3,2,São Pedro
344,Apartamentos,77.0,459100.0,3,2,2,São Cristóvão
345,Apartamentos,50.0,170000.0,1,1,1,Cabral
346,Apartamentos,62.0,205000.0,3,2,1,Novo Horizonte
347,Apartamentos,66.0,360000.0,3,2,2,Cristo Rei
348,Apartamentos,62.0,270000.0,3,2,2,Recanto das Palmeiras
349,Casas,240.0,780000.0,4,5,4,Santa Isabel
350,Casas,276.0,720000.0,4,4,2,Morada do Sol
351,Apartamentos,70.0,390000.0,1,1,2,Ininga
352,Apartamentos,68.0,185000.0,3,2,1,Uruguai
353,Apartamentos,80.0,220000.0,3,2,1,Cidade Nova
354,Casas,158.0,680000.0,4,5,2,Socopo
355,Casas,98.0,444900.0,3,3,2,Morros
356,Apartamentos,77.0,415000.0,3,2,1,Ininga
357,Apartamentos,73.0,400000.0,3,2,2,Recanto das Palmeiras
358,Apartamentos,64.0,300000.0,3,2,2,São João
359,Casas,220.0,485000.0,3,3,2,Parque São João
360,Casas,88.0,420000.0,3,4,2,Morros
361,Casas,77.0,352800.0,3,3,2,Novo Uruguai
362,Casas,600.0,1000000.0,4,4,5,Planalto
363,Casas,550.0,1400000.0,5,5,5,Campestre
364,Apartamentos,77.0,325000.0,3,3,1,Campestre
365,Casas,216.0,1100000.0,4,5,2,Gurupi
366,Apartamentos,206.0,1760000.0,4,4,3,Jóquei
367,Casas,280.0,1400000.0,4,4,5,Ininga
368,Casas,175.0,890000.0,4,5,4,Gurupi
369,Apartamentos,69.0,210000.0,3,2,1,Cristo Rei
370,Apartamentos,81.0,240000.0,3,2,1,Porenquanto
371,Apartamentos,161.0,800000.0,3,2,2,Jóquei
372,Casas,180.0,730000.0,4,4,4,Morros
373,Casas,110.0,400000.0,3,3,2,Piçarreira
374,Casas,150.0,650000.0,3,2,2,Morros
375,Apartamentos,59.0,160000.0,2,2,1,Uruguai
376,Casas,100.0,650000.0,4,1,4,Marquês
377,Apartamentos,75.0,328000.0,3,2,1,Jóquei
378,Apartamentos,77.0,270000.0,3,3,1,Campestre
379,Apartamentos,41.0,190000.0,2,1,1,Morada do Sol
380,Casas,90.0,400000.0,3,3,2,Gurupi
381,Casas,89.0,438000.0,3,2,2,Gurupi
382,Apartamentos,49.0,160000.0,2,2,1,Angelim
383,Apartamentos,46.0,180000.0,2,1,0,Novo Horizonte
384,Apartamentos,130.0,1025172.0,3,1,3,Fátima
385,Casas,228.0,1600000.0,4,4,2,Uruguai
386,Casas,270.0,1750000.0,4,4,2,Tabajaras
387,Casas,138.0,720000.0,4,4,2,Zoobotânico
388,Apartamentos,142.0,1159400.0,2,4,3,São Cristóvão
389,Apartamentos,56.0,329500.0,2,2,1,Nossa Senhora das Graças
391,Apartamentos,46.0,129900.0,2,1,1,Vale do Gavião
392,Casas,130.0,560000.0,3,4,3,Jóquei
393,Apartamentos,63.0,330000.0,3,2,2,Piçarreira
394,Apartamentos,60.0,280000.0,2,1,1,Uruguai
395,Apartamentos,77.0,330000.0,3,2,2,Uruguai
396,Apartamentos,70.0,350000.0,3,2,1,Jóquei
397,Casas,100.0,420000.0,3,3,2,Gurupi
398,Apartamentos,187.0,1207000.0,3,3,2,Noivos
399,Apartamentos,50.0,145000.0,2,1,1,Aroeiras
400,Casas,441.0,200000.0,5,1,2,Piçarreira
401,Apartamentos,187.0,700000.0,4,4,2,Horto
402,Apartamentos,65.0,190000.0,3,2,1,Novo Horizonte
403,Apartamentos,130.0,1300000.0,4,5,2,Fátima
404,Apartamentos,60.0,280000.0,2,1,1,Santa Isabel
405,Casas,315.0,2600000.0,4,5,4,Gurupi
407,Apartamentos,42.0,180000.0,2,1,1,Uruguai
408,Apartamentos,150.0,130000.0,2,1,1,Nova Brasília
409,Apartamentos,225.0,2185000.0,4,4,4,Jóquei
411,Apartamentos,107.0,890000.0,3,4,2,Horto
412,Apartamentos,77.0,360000.0,3,2,2,Morros
413,Apartamentos,60.0,125000.0,2,1,1,Morada Nova
414,Apartamentos,42.0,140000.0,2,1,1,Morada do Sol
415,Casas,230.0,340000.0,3,1,2,Parque Ideal
416,Casas,450.0,600000.0,3,1,5,Santa Isabel
417,Casas,200.0,820000.0,4,5,3,Gurupi
418,Apartamentos,68.0,320000.0,3,2,2,Planalto
419,Apartamentos,68.0,195000.0,3,2,1,Parque Piauí
420,Apartamentos,74.0,200000.0,3,2,1,Lourival Parente
421,Casas,200.0,250000.0,2,1,2,Itararé
422,Apartamentos,38.0,180500.0,2,2,2,Uruguai
423,Casas,210.0,1150000.0,4,4,2,Morros
424,Apartamentos,190.0,850000.0,3,3,2,Ininga
425,Apartamentos,54.0,288500.0,2,2,2,São Cristóvão
426,Apartamentos,69.0,240000.0,3,2,1,Centro
427,Apartamentos,49.0,130000.0,2,1,1,Santa Maria
428,Apartamentos,76.0,630000.0,3,3,2,Horto
429,Apartamentos,38.0,157500.0,2,1,1,Gurupi
430,Apartamentos,69.0,220000.0,2,2,1,Horto
431,Apartamentos,75.0,230000.0,3,1,1,Piçarreira
432,Apartamentos,64.0,300000.0,3,2,1,Gurupi
433,Apartamentos,76.0,580000.0,3,2,2,Horto
434,Apartamentos,196.0,890000.0,4,1,2,Frei Serafim
435,Apartamentos,168.0,1657000.0,3,3,2,Jóquei
436,Casas,350.0,1300000.0,3,3,4,Ininga
437,Casas,200.0,500000.0,3,2,1,Morro da Esperança
438,Apartamentos,56.0,225000.0,2,1,1,Aeroporto
439,Apartamentos,60.0,240000.0,2,1,2,Aeroporto
440,Apartamentos,71.0,390000.0,3,2,2,Noivos
441,Apartamentos,47.0,130000.0,2,1,1,Vale do Gavião
442,Apartamentos,48.0,160000.0,2,1,1,Cidade Jardim
443,Casas,69.0,155000.0,2,1,1,Santa Maria
444,Apartamentos,45.0,200000.0,2,1,2,Noivos
445,Casas,151.0,780000.0,4,1,2,Samapi
446,Casas,107.0,589325.0,4,4,3,Morros
448,Apartamentos,71.0,490000.0,3,2,2,Uruguai
449,Apartamentos,124.0,690000.0,3,2,2,Jóquei
450,Apartamentos,92.0,560000.0,3,4,1,Fátima
451,Apartamentos,177.0,1100000.0,4,5,2,Centro
453,Apartamentos,102.0,250000.0,4,3,2,Campestre
454,Casas,360.0,2980000.0,5,1,3,Uruguai
455,Apartamentos,80.0,540000.0,3,3,2,Ininga
456,Apartamentos,255.0,1800000.0,4,5,3,Horto
457,Apartamentos,105.0,750000.0,3,2,2,Fátima
458,Apartamentos,67.0,450000.0,2,1,1,Ilhotas
459,Casas,220.0,850000.0,3,2,3,Morada do Sol
460,Casas,120.0,290000.0,2,1,2,Memorare
461,Apartamentos,52.0,175000.0,2,2,1,Uruguai
462,Apartamentos,68.0,430000.0,3,2,2,Primavera
463,Casas,104.0,260000.0,4,2,3,Itararé
464,Casas,200.0,500000.0,3,2,2,Ininga
465,Apartamentos,45.0,145000.0,2,1,1,Morros
466,Casas,243.0,780000.0,4,3,4,São João
467,Casas,180.0,250000.0,3,3,1,Mocambinho
468,Casas,300.0,350000.0,3,1,2,Vale Quem Tem
469,Apartamentos,76.0,375000.0,3,2,2,Morros
470,Apartamentos,110.0,977139.0,3,4,2,Jóquei
471,Apartamentos,79.0,290000.0,3,1,1,Vale do Gavião
472,Apartamentos,50.0,215251.0,2,1,1,Uruguai
473,Apartamentos,49.0,130000.0,2,1,1,Piçarreira
474,Apartamentos,68.0,280000.0,3,2,1,Piçarreira
475,Apartamentos,60.0,275000.0,2,2,1,Uruguai
476,Apartamentos,153.0,1400000.0,3,4,5,Núcleo Urbano Fazenda Real
477,Apartamentos,78.0,490000.0,3,3,2,Monte Castelo
479,Apartamentos,51.0,220000.0,2,1,1,Aeroporto
480,Apartamentos,40.0,130000.0,2,1,1,Cristo Rei
481,Apartamentos,49.0,150000.0,2,1,1,Santa Isabel
482,Apartamentos,136.0,1500000.0,4,5,2,Fátima
484,Casas,272.0,887000.0,4,5,4,Morada do Sol
485,Apartamentos,47.0,130000.0,2,1,1,Todos os Santos
486,Casas,250.0,165000.0,2,2,1,Parque Brasil
487,Apartamentos,57.0,170000.0,3,1,1,São Cristóvão
488,Apartamentos,200.0,1280000.0,4,5,4,Jóquei
489,Casas,120.0,622500.0,4,4,2,Gurupi
490,Apartamentos,70.0,280000.0,3,2,1,São João
491,Casas,89.0,432275.0,3,2,2,Gurupi
492,Casas,63.0,120000.0,3,2,3,Esplanada
493,Apartamentos,74.0,410000.0,3,2,1,Uruguai
